Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
10:00p,Miami Heat,119,Portland Trail Blazers,98,Box Score,,"18,588",2:03,Moda Center,
7:30p,Dallas Mavericks,129,Brooklyn Nets,125,Box Score,OT,"18,039",2:42,Barclays Center,
8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,Box Score,,"14,510",2:05,Paycom Center,
10:00p,Miami Heat,110,Golden State Warriors,123,Box Score,,"18,064",2:04,Chase Center,
10:00p,Memphis Grizzlies,125,Sacramento Kings,110,Box Score,,"15,511",2:08,Golden 1 Center,
7:00p,Atlanta Hawks,136,Detroit Pistons,112,Box Score,,"18,923",2:11,Little Caesars Arena,
7:00p,Charlotte Hornets,93,Orlando Magic,113,Box Score,,"18,846",2:08,Amway Center,
7:30p,Cleveland Cavaliers,132,Boston Celtics,123,Box Score,OT,"19,156",2:42,TD Garden,
7:30p,Philadelphia 76ers,112,Toronto Raptors,90,Box Score,,"19,800",2:05,Scotiabank Arena,
7:30p,Indiana Pacers,127,Washington Wizards,117,Box Score,,"13,463",2:25,Capital One Arena,
8:00p,New York Knicks,108,Milwaukee Bucks,119,Box Score,,"17,341",2:25,Fiserv Forum,
8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,Box Score,,"17,136",2:28,Target Center,
8:30p,Chicago Bulls,124,San Antonio Spurs,129,Box Score,,"16,562",2:17,AT&T Center,
9:00p,Utah Jazz,101,Denver Nuggets,117,Box Score,,"19,560",2:07,Ball Arena,
10:00p,New Orleans Pelicans,111,Phoenix Suns,124,Box Score,,"17,071",2:13,Footprint Center,
10:00p,Houston Rockets,111,Portland Trail Blazers,125,Box Score,,"19,082",2:11,Moda Center,
6:00p,Miami Heat,113,Sacramento Kings,119,Box Score,,"14,618",2:31,Golden 1 Center,
7:00p,Golden State Warriors,113,Charlotte Hornets,120,Box Score,OT,"19,079",2:26,Spectrum Center,
7:30p,Indiana Pacers,125,Brooklyn Nets,116,Box Score,,"17,732",2:14,Barclays Center,
8:00p,Philadelphia 76ers,114,Chicago Bulls,109,Box Score,,"19,010",2:25,United Center,
8:00p,Atlanta Hawks,115,Milwaukee Bucks,123,Box Score,,"17,341",2:15,Fiserv Forum,
9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111,Box Score,OT,"20,307",2:38,American Airlines Center,
9:00p,Memphis Grizzlies,123,Utah Jazz,124,Box Score,,"18,206",2:14,Vivint Arena,
3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,Box Score,,"18,142",1:59,Crypto.com Arena,
6:00p,Washington Wizards,94,Boston Celtics,112,Box Score,,"19,156",2:00,TD Garden,
6:00p,New York Knicks,108,Cleveland Cavaliers,121,Box Score,,"19,432",2:13,Rocket Mortgage Fieldhouse,
6:00p,Golden State Warriors,114,Detroit Pistons,128,Box Score,,"20,190",2:19,Little Caesars Arena,
7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,Box Score,,"15,053",2:14,AT&T Center,
7:30p,Orlando Magic,105,Dallas Mavericks,114,Box Score,,"20,042",2:22,American Airlines Center,
9:00p,Houston Rockets,109,Phoenix Suns,124,Box Score,,"17,071",2:22,Footprint Center,
9:30p,Denver Nuggets,110,Los Angeles Lakers,121,Box Score,,"18,997",2:07,Crypto.com Arena,
7:00p,Sacramento Kings,115,Charlotte Hornets,108,Box Score,,"12,020",2:19,Spectrum Center,
7:00p,Philadelphia 76ers,118,Washington Wizards,111,Box Score,,"13,746",2:14,Capital One Arena,
7:30p,Indiana Pacers,109,Brooklyn Nets,116,Box Score,,"15,770",2:20,Barclays Center,
7:30p,Atlanta Hawks,109,Toronto Raptors,139,Box Score,,"19,800",2:13,Scotiabank Arena,
8:00p,Detroit Pistons,108,Milwaukee Bucks,110,Box Score,,"17,341",2:21,Fiserv Forum,
9:00p,Memphis Grizzlies,105,Utah Jazz,121,Box Score,,"18,206",2:16,Vivint Arena,
10:30p,Houston Rockets,93,Los Angeles Clippers,95,Box Score,,"14,887",2:13,Crypto.com Arena,
7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Box Score,,"19,842",2:17,Ball Arena,
10:00p,Phoenix Suns,108,Golden State Warriors,104,Box Score,,"18,064",2:33,Chase Center,
7:00p,Houston Rockets,86,Orlando Magic,116,Box Score,,"18,846",2:14,Kia Center,
7:00p,Boston Celtics,108,New York Knicks,104,Box Score,,"19,812",2:39,Madison Square Garden (IV),
7:00p,Washington Wizards,120,Indiana Pacers,143,Box Score,,"16,004",2:07,Gainbridge Fieldhouse,
7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Box Score,,"16,129",2:22,Spectrum Center,
7:30p,Detroit Pistons,102,Miami Heat,103,Box Score,,"19,695",2:14,Kaseya Center,
7:30p,Minnesota Timberwolves,94,Toronto Raptors,97,Box Score,,"19,800",2:10,Scotiabank Arena,
7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Box Score,,"17,931",2:18,Barclays Center,
8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104,Box Score,,"17,798",2:20,FedEx Forum,
8:00p,Oklahoma City Thunder,124,Chicago Bulls,104,Box Score,,"21,369",2:05,United Center,
9:00p,Sacramento Kings,130,Utah Jazz,114,Box Score,,"18,206",2:18,Delta Center,
9:30p,Dallas Mavericks,126,San Antonio Spurs,119,Box Score,,"18,947",2:20,Frost Bank Center,
10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123,Box Score,,"19,370",2:09,Crypto.com Arena,
7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118,Box Score,,"17,783",2:40,Fiserv Forum,
10:00p,Phoenix Suns,95,Los Angeles Lakers,100,Box Score,,"18,997",2:26,Crypto.com Arena,
7:00p,Denver Nuggets,108,Memphis Grizzlies,104,Box Score,,"16,617",2:20,FedEx Forum,
7:00p,Detroit Pistons,111,Charlotte Hornets,99,Box Score,,"15,855",2:24,Spectrum Center,
7:30p,New York Knicks,126,Atlanta Hawks,120,Box Score,,"17,692",2:11,State Farm Arena,
7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105,Box Score,,"19,432",2:27,Rocket Mortgage Fieldhouse,
7:30p,Miami Heat,111,Boston Celtics,119,Box Score,,"19,156",2:20,TD Garden,
8:00p,Toronto Raptors,103,Chicago Bulls,104,Box Score,OT,"19,555",2:45,United Center,
8:00p,Houston Rockets,122,San Antonio Spurs,126,Box Score,OT,"18,354",2:38,Frost Bank Center,
8:30p,Brooklyn Nets,120,Dallas Mavericks,125,Box Score,,"20,238",2:14,American Airlines Center,
9:30p,Los Angeles Clippers,118,Utah Jazz,120,Box Score,,"18,206",2:15,Delta Center,
10:00p,Orlando Magic,102,Portland Trail Blazers,97,Box Score,,"19,464",2:19,Moda Center,
10:00p,Golden State Warriors,122,Sacramento Kings,114,Box Score,,"18,250",2:22,Golden 1 Center,
7:00p,Chicago Bulls,102,Detroit Pistons,118,Box Score,,"20,062",2:10,Little Caesars Arena,
7:00p,Memphis Grizzlies,106,Washington Wizards,113,Box Score,,"16,191",2:16,Capital One Arena,
7:00p,New York Knicks,87,New Orleans Pelicans,96,Box Score,,"16,331",2:08,Smoothie King Center,
7:30p,Indiana Pacers,125,Cleveland Cavaliers,113,Box Score,,"19,432",2:10,Rocket Mortgage Fieldhouse,
7:30p,Philadelphia 76ers,114,Toronto Raptors,107,Box Score,,"19,800",2:10,Scotiabank Arena,
8:00p,Miami Heat,90,Minnesota Timberwolves,106,Box Score,,"18,024",2:05,Target Center,
10:00p,Utah Jazz,104,Phoenix Suns,126,Box Score,,"17,071",2:13,Footprint Center,
3:30p,Denver Nuggets,128,Oklahoma City Thunder,95,Box Score,,"18,203",2:00,Paycom Center,
7:00p,Golden State Warriors,106,Houston Rockets,95,Box Score,,"18,055",2:17,Toyota Center,
7:00p,Atlanta Hawks,127,Milwaukee Bucks,110,Box Score,,"17,341",2:15,Fiserv Forum,
7:30p,Portland Trail Blazers,98,Philadelphia 76ers,126,Box Score,,"19,768",2:13,Wells Fargo Center,
9:00p,San Antonio Spurs,83,Los Angeles Clippers,123,Box Score,,"19,370",2:06,Crypto.com Arena,
9:00p,Los Angeles Lakers,127,Sacramento Kings,132,Box Score,OT,"18,198",2:38,Golden 1 Center,
7:00p,Chicago Bulls,112,Indiana Pacers,105,Box Score,,"15,021",2:26,Gainbridge Fieldhouse,
7:00p,Boston Celtics,126,Washington Wizards,107,Box Score,,"17,898",2:06,Capital One Arena,
7:00p,Brooklyn Nets,133,Charlotte Hornets,121,Box Score,,"14,491",2:12,Spectrum Center,
7:30p,Portland Trail Blazers,99,Toronto Raptors,91,Box Score,,"19,266",2:03,Scotiabank Arena,
7:30p,Minnesota Timberwolves,113,Atlanta Hawks,127,Box Score,,"15,504",2:05,State Farm Arena,
8:00p,Dallas Mavericks,125,Memphis Grizzlies,110,Box Score,,"15,031",2:14,FedEx Forum,
8:00p,Miami Heat,114,Milwaukee Bucks,122,Box Score,,"17,341",2:24,Fiserv Forum,
8:00p,Golden State Warriors,130,New Orleans Pelicans,102,Box Score,,"17,286",2:08,Smoothie King Center,
8:00p,Detroit Pistons,112,Oklahoma City Thunder,124,Box Score,,"16,127",2:18,Paycom Center,
9:00p,Utah Jazz,102,Denver Nuggets,110,Box Score,,"19,671",2:11,Ball Arena,
10:30p,Orlando Magic,103,Los Angeles Lakers,106,Box Score,,"18,997",2:18,Crypto.com Arena,
7:30p,New York Knicks,109,Cleveland Cavaliers,91,Box Score,,"19,432",2:14,Rocket Mortgage Fieldhouse,
10:00p,San Antonio Spurs,115,Phoenix Suns,114,Box Score,,"17,071",2:28,Footprint Center,
10:30p,Orlando Magic,102,Los Angeles Clippers,118,Box Score,,"14,014",2:17,Crypto.com Arena,
