Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
8:00p,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,"18,083",2:09,Toyota Center,
8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,"18,581",2:07,AT&T Center,
8:30p,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,"19,834",2:14,American Airlines Center,
9:00p,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,"19,911",2:25,EnergySolutions Arena,
10:00p,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,"17,208",2:07,US Airways Center,
10:00p,Denver Nuggets,88,Sacramento Kings,90,Box Score,,"17,317",2:26,Sleep Train Arena,
10:30p,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,"19,596",2:10,Oracle Arena,
8:00p,New York Knicks,81,Chicago Bulls,82,Box Score,,"22,022",2:33,United Center,
10:30p,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,"19,060",2:48,STAPLES Center,
8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,"17,097",2:12,Smoothie King Center,
8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,"19,615",2:20,AT&T Center,
10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,"18,997",2:46,STAPLES Center,
7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,"19,439",2:34,Time Warner Cable Arena,
7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,"18,165",2:24,Bankers Life Fieldhouse,
7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,"19,800",2:24,Air Canada Centre,
7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,"19,744",2:14,AmericanAirlines Arena,
7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,"18,624",2:13,TD Garden,
8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,"19,812",2:12,Madison Square Garden (IV),
8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,"17,731",2:16,FedEx Forum,
9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,"17,136",2:20,Pepsi Center,
9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,"19,911",2:03,EnergySolutions Arena,
10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,"17,523",2:10,US Airways Center,
10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,"17,317",2:27,Sleep Train Arena,
10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,"19,441",2:21,Moda Center,
7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,"18,846",2:21,Amway Center,
8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,"20,562",2:29,Quicken Loans Arena,
8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,"18,296",2:11,Target Center,
8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,"19,697",2:06,American Airlines Center,
