Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Fri, Nov 20, 2009",7:00p,Miami Heat,113,Toronto Raptors,120,Box Score,,"19,800",2:33,Air Canada Centre,
"Fri, Nov 20, 2009",7:30p,Houston Rockets,103,Atlanta Hawks,105,Box Score,,"16,674",2:25,Philips Arena,
"Fri, Nov 20, 2009",8:00p,Orlando Magic,83,Boston Celtics,78,Box Score,,"18,624",2:34,TD Garden,
"Fri, Nov 20, 2009",8:00p,Washington Wizards,108,Oklahoma City Thunder,127,Box Score,,"18,203",2:18,Oklahoma City Arena,
"Fri, Nov 20, 2009",8:30p,Sacramento Kings,102,Dallas Mavericks,104,Box Score,,"19,871",2:13,American Airlines Center,
"Fri, Nov 20, 2009",8:30p,Charlotte Bobcats,88,Milwaukee Bucks,95,Box Score,,"15,578",2:20,Bradley Center,
"Fri, Nov 20, 2009",10:30p,Portland Trail Blazers,94,Golden State Warriors,108,Box Score,,"18,630",2:19,Oracle Arena,
"Fri, Nov 20, 2009",10:30p,Denver Nuggets,99,Los Angeles Clippers,106,Box Score,,"18,155",2:42,STAPLES Center,
"Sat, Nov 21, 2009",1:00p,New York Knicks,98,New Jersey Nets,91,Box Score,,"14,050",2:13,Izod Center,
"Sat, Nov 21, 2009",7:30p,Philadelphia 76ers,91,Cleveland Cavaliers,97,Box Score,,"20,562",2:15,Quicken Loans Arena,
"Sat, Nov 21, 2009",8:00p,Milwaukee Bucks,103,Memphis Grizzlies,98,Box Score,,"11,209",2:20,FedEx Forum,
"Sat, Nov 21, 2009",8:00p,Atlanta Hawks,88,New Orleans Hornets,96,Box Score,,"15,933",2:12,New Orleans Arena,
"Sat, Nov 21, 2009",8:30p,Sacramento Kings,106,Houston Rockets,113,Box Score,,"16,202",2:16,Toyota Center,
"Sat, Nov 21, 2009",8:30p,Washington Wizards,84,San Antonio Spurs,106,Box Score,,"16,888",2:07,AT&T Center,
"Sat, Nov 21, 2009",9:00p,Chicago Bulls,93,Denver Nuggets,112,Box Score,,"19,359",2:16,Pepsi Center,
"Sat, Nov 21, 2009",9:00p,Detroit Pistons,97,Utah Jazz,100,Box Score,OT,"18,355",2:37,EnergySolutions Arena,
"Sat, Nov 21, 2009",10:00p,Minnesota Timberwolves,78,Portland Trail Blazers,106,Box Score,,"20,453",2:15,Rose Garden Arena,
"Sun, Nov 22, 2009",12:30p,Orlando Magic,104,Toronto Raptors,96,Box Score,,"17,233",2:18,Air Canada Centre,
"Sun, Nov 22, 2009",1:00p,Boston Celtics,107,New York Knicks,105,Box Score,OT,"19,763",2:49,Madison Square Garden (IV),
"Sun, Nov 22, 2009",5:00p,Indiana Pacers,88,Charlotte Bobcats,104,Box Score,,"14,730",2:12,Time Warner Cable Arena,
"Sun, Nov 22, 2009",6:00p,New Orleans Hornets,101,Miami Heat,102,Box Score,,"16,500",2:25,AmericanAirlines Arena,
"Sun, Nov 22, 2009",8:00p,Detroit Pistons,91,Phoenix Suns,117,Box Score,,"18,422",2:12,US Airways Center,
"Sun, Nov 22, 2009",9:30p,Oklahoma City Thunder,85,Los Angeles Lakers,101,Box Score,,"18,997",2:09,STAPLES Center,
"Mon, Nov 23, 2009",8:00p,Sacramento Kings,105,Memphis Grizzlies,116,Box Score,,"10,109",2:21,FedEx Forum,
"Mon, Nov 23, 2009",8:30p,Milwaukee Bucks,98,San Antonio Spurs,112,Box Score,,"17,677",2:03,AT&T Center,
"Mon, Nov 23, 2009",10:00p,Chicago Bulls,98,Portland Trail Blazers,122,Box Score,,"20,383",2:13,Rose Garden Arena,
"Mon, Nov 23, 2009",10:30p,Minnesota Timberwolves,87,Los Angeles Clippers,91,Box Score,,"13,815",2:19,STAPLES Center,
"Tue, Nov 24, 2009",7:00p,Indiana Pacers,112,Toronto Raptors,123,Box Score,,"17,136",2:12,Air Canada Centre,
